nb_sent	word	tag	stems
0	['vfat', 'ext3', 'внешнего', 'жесткого', 'диска']	['Object1', 'Object2', 'Aspect', 'Aspect', 'Aspect']	['vfat', 'ext3', 'внешн', 'жестк', 'диск']
2	['больше', 'матчей', 'Роналду', 'Месси']	['Aspect', 'Aspect', 'Object1', 'Object2']	['больш', 'матч', 'роналду', 'месси']
3	['redmi', 'note', 'redmi', 'note', '4g']	['Object1', 'Object1', 'Object2', 'Object2', 'Object2']	['redmi', 'note', 'redmi', 'note', '4g']
4	['Netflix', 'Blockbuster']	['Object1', 'Object2']	['Netflix', 'Blockbuster']
6	['bmw', 'infinity', 'g35']	['Object1', 'Object2', 'Object2']	['bmw', 'infinity', 'g35']
7	['Дональд', 'Трамп', 'Хиллари', 'Клинтон']	['Object1', 'Object1', 'Object2', 'Object2']	['дональд', 'трамп', 'хиллари', 'клинтон']
8	['microsoft', 'Google']	['Object1', 'Object2']	['microsoft', 'Google']
9	['thomas', 'cook', 'cox', 'and', 'kings', 'комфорта']	['Object1', 'Object1', 'Object2', 'Object2', 'Object2', 'Aspect']	['thomas', 'cook', 'cox', 'and', 'kings', 'комфорт']
10	['полезнее', 'боксеры', 'трусы']	['Aspect', 'Object1', 'Object2']	['полезн', 'боксеры', 'трусы']
11	['отправкой', 'статьи', 'специализированный', 'журнал', 'журнал', 'с', 'более', 'широкой', 'аудиторией']	['Aspect', 'Aspect', 'Object1', 'Object1', 'Object2', 'Object2', 'Object2', 'Object2', 'Object2']	['отправк', 'стат', 'специализирова', 'журна', 'журна', 'с', 'бол', 'широк', 'аудитор']
12	['iit', 'iisc']	['Object1', 'Object2']	['iit', 'iisc']
13	['воображение', 'знание']	['Object1', 'Object2']	['воображен', 'знан']
19	['люди', 'животных']	['Object1', 'Object2']	['люд', 'животн']
20	['трудно', 'выучить', 'русский', 'язык', 'японским']	['Aspect', 'Aspect', 'Object1', 'CommonObj', 'Object2']	['трудн', 'выуч', 'русск', 'язык', 'японск']
21	['телефон', 'с', 'одной', 'sim-картой', 'с', 'двумя', 'sim-картами']	['CommonObj', 'Object1', 'Object1', 'Object1', 'Object2', 'Object2', 'Object2']	['телефон', 'с', 'одной', 'сим-карт', 'с', 'двумя', 'сим-карт']
22	['старше', 'jeopardy', 'колесо', 'фортуны']	['Aspect', 'Object1', 'Object2', 'Object2']	['старш', 'jeopardy', 'колес', 'фортун']
24	['evernote', 'Google', 'keep']	['Object1', 'Object2', 'Object2']	['evernote', 'Google', 'keep']
25	['максимальная', 'жизненная', 'полезность', 'мужчиной', 'женщиной']	['Aspect', 'Aspect', 'Aspect', 'Object1', 'Object2']	['максимальн', 'жизнен', 'полезн', 'мужчин', 'женщин']
26	['intellij', 'eclipse']	['Object1', 'Object2']	['intellij', 'eclipse']
